colour	y	x	key	tooltip	clickSelects	showSelected1	showSelected2	fill
#FF0000	1	-1.52719964802639	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 1000	#FF0000
#FF0000	1	-1.50734358186078	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 10	#FF0000
#FF0000	1	-1.48444317199744	featureless2	featureless fold 2 MSE=0.033	2	featureless	sin hard 18	#FF0000
#FF0000	1	-1.50581319306165	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 32	#FF0000
#FF0000	1	-1.50034565733136	featureless2	featureless fold 2 MSE=0.032	2	featureless	sin hard 56	#FF0000
#FF0000	1	-1.50715451606479	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 100	#FF0000
#FF0000	1	-1.50752359923724	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 178	#FF0000
#FF0000	1	-1.50372462188224	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 316	#FF0000
#FF0000	1	-1.50479446053322	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 562	#FF0000
#FF0000	1	-1.50601353678587	featureless2	featureless fold 2 MSE=0.031	2	featureless	sin hard 1000	#FF0000
#FF0000	1	-1.52154806050629	featureless3	featureless fold 3 MSE=0.030	3	featureless	sin hard 10	#FF0000
#FF0000	1	-1.53188205348082	featureless3	featureless fold 3 MSE=0.029	3	featureless	sin hard 18	#FF0000
#FF0000	1	-1.5105274432259	featureless3	featureless fold 3 MSE=0.031	3	featureless	sin hard 32	#FF0000
#FF0000	1	-1.52365441861458	featureless3	featureless fold 3 MSE=0.030	3	featureless	sin hard 56	#FF0000
#FF0000	1	-1.51979765110859	featureless3	featureless fold 3 MSE=0.030	3	featureless	sin hard 100	#FF0000
#FF0000	1	-1.52176030902475	featureless3	featureless fold 3 MSE=0.030	3	featureless	sin hard 178	#FF0000
#FF0000	1	-1.53077634218381	featureless3	featureless fold 3 MSE=0.029	3	featureless	sin hard 316	#FF0000
#FF0000	1	-1.52973551139198	featureless3	featureless fold 3 MSE=0.030	3	featureless	sin hard 562	#FF0000
#FF0000	1	-1.53022282288679	featureless3	featureless fold 3 MSE=0.029	3	featureless	sin hard 1000	#FF0000
#FF0000	1	-1.38906953949284	featureless4	featureless fold 4 MSE=0.041	4	featureless	sin hard 10	#FF0000
#FF0000	1	-1.46424582795482	featureless4	featureless fold 4 MSE=0.034	4	featureless	sin hard 18	#FF0000
#FF0000	1	-1.44778427385873	featureless4	featureless fold 4 MSE=0.036	4	featureless	sin hard 32	#FF0000
#FF0000	1	-1.4671704123182	featureless4	featureless fold 4 MSE=0.034	4	featureless	sin hard 56	#FF0000
#FF0000	1	-1.46153968659955	featureless4	featureless fold 4 MSE=0.035	4	featureless	sin hard 100	#FF0000
#FF0000	1	-1.46823285972168	featureless4	featureless fold 4 MSE=0.034	4	featureless	sin hard 178	#FF0000
#FF0000	1	-1.47003472591193	featureless4	featureless fold 4 MSE=0.034	4	featureless	sin hard 316	#FF0000
#FF0000	1	-1.47043203438291	featureless4	featureless fold 4 MSE=0.034	4	featureless	sin hard 562	#FF0000
#FF0000	1	-1.4700613707045	featureless4	featureless fold 4 MSE=0.034	4	featureless	sin hard 1000	#FF0000
#FF0000	1	-1.43150854612717	featureless5	featureless fold 5 MSE=0.037	5	featureless	sin hard 10	#FF0000
#FF0000	1	-1.53410962804707	featureless5	featureless fold 5 MSE=0.029	5	featureless	sin hard 18	#FF0000
#FF0000	1	-1.51441773986138	featureless5	featureless fold 5 MSE=0.031	5	featureless	sin hard 32	#FF0000
#FF0000	1	-1.54088762171142	featureless5	featureless fold 5 MSE=0.029	5	featureless	sin hard 56	#FF0000
#FF0000	1	-1.53611957036111	featureless5	featureless fold 5 MSE=0.029	5	featureless	sin hard 100	#FF0000
#FF0000	1	-1.54537420329123	featureless5	featureless fold 5 MSE=0.028	5	featureless	sin hard 178	#FF0000
#FF0000	1	-1.54536652167413	featureless5	featureless fold 5 MSE=0.028	5	featureless	sin hard 316	#FF0000
#FF0000	1	-1.54529363814145	featureless5	featureless fold 5 MSE=0.028	5	featureless	sin hard 562	#FF0000
#FF0000	1	-1.54534215928361	featureless5	featureless fold 5 MSE=0.028	5	featureless	sin hard 1000	#FF0000
#FF0000	1	-1.50739932607334	featureless6	featureless fold 6 MSE=0.031	6	featureless	sin hard 10	#FF0000
#FF0000	1	-1.53312796437641	featureless6	featureless fold 6 MSE=0.029	6	featureless	sin hard 18	#FF0000
#FF0000	1	-1.54320715076695	featureless6	featureless fold 6 MSE=0.029	6	featureless	sin hard 32	#FF0000
#FF0000	1	-1.57634324456383	featureless6	featureless fold 6 MSE=0.027	6	featureless	sin hard 56	#FF0000
#FF0000	1	-1.57600693904058	featureless6	featureless fold 6 MSE=0.027	6	featureless	sin hard 100	#FF0000
#FF0000	1	-1.57138148688536	featureless6	featureless fold 6 MSE=0.027	6	featureless	sin hard 178	#FF0000
#FF0000	1	-1.57046880425031	featureless6	featureless fold 6 MSE=0.027	6	featureless	sin hard 316	#FF0000
#FF0000	1	-1.57196259934821	featureless6	featureless fold 6 MSE=0.027	6	featureless	sin hard 562	#FF0000
#FF0000	1	-1.57203086456792	featureless6	featureless fold 6 MSE=0.027	6	featureless	sin hard 1000	#FF0000
#00BFFF	2	-1.54727649025213	rpart1	rpart fold 1 MSE=0.028	1	rpart	sin impossible 10	#00BFFF
#00BFFF	2	-1.57109867674541	rpart1	rpart fold 1 MSE=0.027	1	rpart	sin impossible 18	#00BFFF
#00BFFF	2	-1.46142022867709	rpart1	rpart fold 1 MSE=0.035	1	rpart	sin impossible 32	#00BFFF
#00BFFF	2	-1.47496080257299	rpart1	rpart fold 1 MSE=0.033	1	rpart	sin impossible 56	#00BFFF
#00BFFF	2	-1.45679349743449	rpart1	rpart fold 1 MSE=0.035	1	rpart	sin impossible 100	#00BFFF
#00BFFF	2	-1.45292463899453	rpart1	rpart fold 1 MSE=0.035	1	rpart	sin impossible 178	#00BFFF
#00BFFF	2	-1.45732089215638	rpart1	rpart fold 1 MSE=0.035	1	rpart	sin impossible 316	#00BFFF
#00BFFF	2	-1.56337741981174	rpart1	rpart fold 1 MSE=0.027	1	rpart	sin impossible 562	#00BFFF
#00BFFF	2	-1.56712338276729	rpart1	rpart fold 1 MSE=0.027	1	rpart	sin impossible 1000	#00BFFF
#00BFFF	2	-1.52560373525763	rpart2	rpart fold 2 MSE=0.030	2	rpart	sin impossible 10	#00BFFF
#00BFFF	2	-1.56361646423068	rpart2	rpart fold 2 MSE=0.027	2	rpart	sin impossible 18	#00BFFF
